IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
18.171.205.196,2086,80,false,ORD,North America,Chicago,211,0.00
18.171.205.196,80,80,false,ORD,North America,Chicago,289,0.00
18.134.97.109,2053,80,false,ORD,North America,Chicago,173,0.00
52.56.53.70,2096,80,false,ORD,North America,Chicago,171,0.00
18.171.205.196,2087,80,false,ORD,North America,Chicago,289,0.00
18.171.205.196,2082,80,false,ORD,North America,Chicago,231,0.00
18.171.205.196,8080,80,false,ORD,North America,Chicago,234,0.00
3.8.91.246,8080,80,false,ORD,North America,Chicago,169,0.00
96.0.147.62,80,80,false,SIN,Asia Pacific,Singapore,28,0.00
96.0.147.114,443,80,false,SIN,Asia Pacific,Singapore,28,0.00
96.0.144.232,80,80,false,SIN,Asia Pacific,Singapore,29,0.00
96.0.147.114,80,80,false,SIN,Asia Pacific,Singapore,30,0.00
13.215.80.221,2096,80,false,SIN,Asia Pacific,Singapore,61,0.00
13.55.237.163,2082,80,false,SYD,Oceania,Sydney,93,0.00
13.55.237.163,2052,80,false,SYD,Oceania,Sydney,93,0.00
13.55.237.163,2083,80,false,SYD,Oceania,Sydney,93,0.00
13.55.237.163,2087,80,false,SYD,Oceania,Sydney,93,0.00
13.215.80.221,2095,80,false,SIN,Asia Pacific,Singapore,94,0.00
13.55.238.1,2096,80,false,SYD,Oceania,Sydney,94,0.00
54.79.10.40,2096,80,false,SYD,Oceania,Sydney,95,0.00
13.55.237.163,2096,80,false,SYD,Oceania,Sydney,97,0.00
13.236.104.165,2086,80,false,SYD,Oceania,Sydney,101,0.00
13.236.104.165,2087,80,false,SYD,Oceania,Sydney,102,0.00
13.236.104.165,2082,80,false,SYD,Oceania,Sydney,104,0.00
13.54.173.154,2095,80,false,SYD,Oceania,Sydney,104,0.00
16.162.177.179,2086,80,false,HKG,Asia Pacific,Hong Kong,105,0.00
13.55.238.1,2053,80,false,SYD,Oceania,Sydney,106,0.00
13.55.237.163,2053,80,false,SYD,Oceania,Sydney,107,0.00
54.66.80.167,2053,80,false,SYD,Oceania,Sydney,107,0.00
13.55.238.1,2095,80,false,SYD,Oceania,Sydney,107,0.00
13.114.59.37,2052,80,false,NRT,Asia Pacific,Tokyo,108,0.00
13.54.173.154,2096,80,false,SYD,Oceania,Sydney,113,0.00
13.55.238.1,2052,80,false,SYD,Oceania,Sydney,119,0.00
13.54.173.154,2083,80,false,SYD,Oceania,Sydney,122,0.00
16.162.172.91,2095,80,false,HKG,Asia Pacific,Hong Kong,124,0.00
13.215.80.221,2083,80,false,SIN,Asia Pacific,Singapore,125,0.00
13.55.238.1,2087,80,false,SYD,Oceania,Sydney,127,0.00
13.215.80.221,2086,80,false,SIN,Asia Pacific,Singapore,128,0.00
16.162.177.179,2053,80,false,HKG,Asia Pacific,Hong Kong,129,0.00
65.0.144.242,2082,80,false,BOM,Asia Pacific,Mumbai,130,0.00
16.162.172.91,2053,80,false,HKG,Asia Pacific,Hong Kong,131,0.00
16.162.177.179,2083,80,false,HKG,Asia Pacific,Hong Kong,136,0.00
13.55.237.163,2086,80,false,SYD,Oceania,Sydney,136,0.00
13.55.59.224,2087,80,false,SYD,Oceania,Sydney,139,0.00
13.54.81.122,2052,80,false,SYD,Oceania,Sydney,140,0.00
13.54.173.154,2087,80,false,SYD,Oceania,Sydney,141,0.00
13.54.173.154,2082,80,false,SYD,Oceania,Sydney,143,0.00
